Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY 50","11,019.85","11,055.45","11,010.95","11,040.65","30.45","0.28","1,200.04","7,726.74","11,171.55","9,685.55","11.82","2.49"
"UPL","572.80","631.35","561.10","621.40","71.80","13.06","137.29","820.96","902.50","537.25","-27.40","-4.73"
"BAJAJFINSV","6,631.00","6,960.00","6,631.00","6,940.00","276.05","4.14","3.59","244.63","6,960.00","4,500.00","48.31","16.69"
"ITC","279.50","286.65","277.15","284.25","10.25","3.74","175.35","496.86","295.40","250.00","-1.81","7.77"
"BHARTIARTL","345.50","355.70","345.00","355.00","9.60","2.78","18.12","63.99","564.80","331.00","-15.44","-4.54"
"HINDUNILVR","1,668.95","1,702.95","1,660.55","1,695.60","39.75","2.40","9.20","154.99","1,780.00","1,141.35","47.07","5.82"
"ADANIPORTS","370.20","380.00","370.00","377.85","7.80","2.11","11.86","44.73","452.35","350.45","-0.57","3.34"
"NTPC","155.30","159.60","155.30","158.25","2.60","1.67","31.28","49.50","188.00","149.50","-4.35","0.76"
"BAJFINANCE","2,720.00","2,793.60","2,717.00","2,766.35","45.00","1.65","22.81","631.00","2,793.60","1,511.20","73.40","21.98"
"IOC","162.50","165.35","162.10","163.50","2.45","1.52","25.61","42.00","231.48","150.00","-56.35","-1.15"
"INDUSINDBK","1,906.25","1,933.95","1,903.00","1,930.60","28.05","1.47","5.43","104.48","1,995.00","1,536.65","23.76","-1.87"
"ICICIBANK","265.35","270.85","265.35","269.45","3.65","1.37","55.58","149.57","365.70","255.00","-10.36","-8.10"
"ULTRACEMCO","3,885.00","3,923.50","3,879.05","3,919.95","48.25","1.25","0.63","24.75","4,599.90","3,563.00","-5.35","7.36"
"HINDPETRO","279.00","282.30","276.00","278.35","2.95","1.07","19.99","55.87","492.80","250.60","-24.33","-9.60"
"CIPLA","623.15","635.00","617.25","631.75","5.95","0.95","10.04","62.88","663.40","507.20","10.47","4.79"
